No. Delegación,Nombre Delegación,Tipo,No. Subdelegación,Nombre Subdelegación,Unidad Territorial Básica,Clave Única Municipal
1,Centro Histórico,Delegación,,,Centro,010A
1,Centro Histórico,Delegación,,,Santa Clara,010B
1,Centro Histórico,Delegación,,,5 de Mayo,010C
1,Centro Histórico,Delegación,,,Francisco Murguía (El Ranchito),010D
1,Centro Histórico,Delegación,,,La Merced (Alameda),010E
2,Barrios Tradicionales,Delegación,,,Santa Bárbara,020A
2,Barrios Tradicionales,Delegación,,,El Cóporo,020B
2,Barrios Tradicionales,Delegación,,,La Retama,020C
2,Barrios Tradicionales,Delegación,,,San Miguel Apinahuizco,020D
2,Barrios Tradicionales,Delegación,,,Unión,020E
2,Barrios Tradicionales,Delegación,,,San Luis Obispo,020F
3,Árbol de las Manitas,Delegación,,,Zopilocalco Sur,030A
3,Árbol de las Manitas,Delegación,,,Zopilocalco Norte,030B
3,Árbol de las Manitas,Delegación,,,Lomas Altas,030C
3,Árbol de las Manitas,Delegación,,,Huitzila y Doctores,030D
3,Árbol de las Manitas,Delegación,,,Niños Héroes (Pensiones),030E
4,La Maquinita,Delegación,,,Rancho La Mora,040A
4,La Maquinita,Delegación,,,Los Ángeles,040B
4,La Maquinita,Delegación,,,Carlos Hank y Los Frailes,040C
4,La Maquinita,Delegación,,,"Guadalupe, Club Jardín y la Magdalena",040D
4,La Maquinita,Delegación,,,Tlacopa,040E
5,Independencia,Delegación,,,Reforma y Ferrocarriles Nacionales (San Juan Bautista),050A
5,Independencia,Delegación,,,Meteoro,050B
5,Independencia,Delegación,,,Independencia,050C
5,Independencia,Delegación,,,Las Torres (Científicos),050D
5,Independencia,Delegación,,,San Juan Buenavista,050E
6,San Sebastián,Delegación,,,Valle Verde y Terminal,060A
6,San Sebastián,Delegación,,,Progreso,060B
6,San Sebastián,Delegación,,,Izcalli IPIEM,060C
6,San Sebastián,Delegación,,,San Sebastián y Vértice,060D
6,San Sebastián,Delegación,,,Izcalli Toluca,060E
6,San Sebastián,Delegación,,,Salvador Sánchez Colín,060F
6,San Sebastián,Delegación,,,Comisión Federal de Electricidad,060G
6,San Sebastián,Delegación,,,Valle Don Camilo,060H
7,Universidad,Delegación,,,Universidad,070A
